localFile,sheet,sourceRow,targetMolecule,itemNumber,productName,rawStrength,rawPackDescription,dosageForm,gtin,rawSupplier,rawAtc,rawMolecule,volumeRaw,volumePeriodLabel,volumePeriodStart,volumePeriodEnd,priceType,maxPriceRaw,offeredGip,parserWarnings,matchedTerm,evidenceLevel,detectionMethod,volumeIsTwelveMonths,volumeInterpretationWarning,volumeEvidence,maxPriceSource,maxPriceEffectiveDate,tenderDocumentMaxAip,dmpMaxAip,priceDifference,priceDifferencePct,dmpJoinOutcome,dmpTemporalWarning,supplierExportDecision,supplierRejectionReason,packSizeValidityDecision,packSizeExportWarning,rawNoticeType,rawProcedureType
Lenalidomide__LIS_2234/LIS 2234 Vedlegg 03 Prisskjema.xlsx,Prisskjema,10,Lenalidomide,540958,"Revlimid kaps  2,5mg","2,5mg",21 ENPAC,,,Celgene AS,L04AX04,Lenalidomid,56,PAKNINGER 2020,2020-01-01,2020-12-31,,,,,lenalidomid,document_name_and_atc,name_in_document,true,Calendar-year proxy PAKNINGER 2020 used as documented 12-month historical volume.,Prisskjema header PAKNINGER 2020 (full calendar year).,,,,,,,no_item_match,,exported,,valid,,3,1
Everolimus__2632a/2632a Bilag 2 Prisskjema.xlsx,Prisskjema,7,Everolimus,14884,"Certican disperg tab 0,1mg","0,1mg",60,,,Novartis Norge AS,L04AH02,Everolimus,,Pakningssalg,,,max_aip,492.07,,,everolimus,document_name_and_atc,name_in_document,false,Volume period not documented; packsSoldLast12m left blank.,No explicit 12-month or calendar-year volume label in source.,tender_document,,492.07,492.07,0.0,0.0,exact_validated,,exported,,valid,,cn-standard,open
Everolimus__2632a/2632a Bilag 2 Prisskjema.xlsx,Prisskjema,8,Everolimus,14917,"Certican disperg tab 0,25mg","0,25mg",60,,,Novartis Norge AS,L04AH02,Everolimus,,Pakningssalg,,,max_aip,1017.61,,,everolimus,document_name_and_atc,name_in_document,false,Volume period not documented; packsSoldLast12m left blank.,No explicit 12-month or calendar-year volume label in source.,tender_document,,1017.61,1017.61,0.0,0.0,exact_validated,,exported,,valid,,cn-standard,open
Everolimus__2632a/2632a Bilag 2 Prisskjema.xlsx,Prisskjema,9,Everolimus,14847,"Certican tab 0,25mg","0,25mg",60,,,Novartis Norge AS,L04AH02,Everolimus,,Pakningssalg,,,max_aip,1017.61,,,everolimus,document_name_and_atc,name_in_document,false,Volume period not documented; packsSoldLast12m left blank.,No explicit 12-month or calendar-year volume label in source.,tender_document,,1017.61,1017.61,0.0,0.0,exact_validated,,exported,,valid,,cn-standard,open
Everolimus__2632a/2632a Bilag 2 Prisskjema.xlsx,Prisskjema,10,Everolimus,14859,"Certican tab 0,5mg","0,5mg",60,,,Novartis Norge AS,L04AH02,Everolimus,,Pakningssalg,,,max_aip,2028.9,,,everolimus,document_name_and_atc,name_in_document,false,Volume period not documented; packsSoldLast12m left blank.,No explicit 12-month or calendar-year volume label in source.,tender_document,,2028.9,2028.9,0.0,0.0,exact_validated,,exported,,valid,,cn-standard,open
Everolimus__2632a/2632a Bilag 2 Prisskjema.xlsx,Prisskjema,11,Everolimus,14853,"Certican tab 0,75mg","0,75mg",60,,,Novartis Norge AS,L04AH02,Everolimus,,Pakningssalg,,,max_aip,3070.93,,,everolimus,document_name_and_atc,name_in_document,false,Volume period not documented; packsSoldLast12m left blank.,No explicit 12-month or calendar-year volume label in source.,tender_document,,3070.93,3070.93,0.0,0.0,exact_validated,,exported,,valid,,cn-standard,open
Everolimus__2632a/2632a Bilag 2 Prisskjema.xlsx,Prisskjema,12,Everolimus,14946,Certican tab 1mg,1mg,60,,,Novartis Norge AS,L04AH02,Everolimus,,Pakningssalg,,,max_aip,4057.8,,,everolimus,document_name_and_atc,name_in_document,false,Volume period not documented; packsSoldLast12m left blank.,No explicit 12-month or calendar-year volume label in source.,tender_document,,4057.8,4057.8,0.0,0.0,exact_validated,,exported,,valid,,cn-standard,open
Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,Prisskjema,5,Anagrelide,560023,"Anagrelide bluefish kaps 0,5mg","0,5mg",100,,,Bluefish Pharmaceuticals AB,L01XX35,Anagrelid,,Pakningssalg,,,,,,,anagrelide,document_name_and_atc,name_in_document,false,Volume period not documented; packsSoldLast12m left blank.,No explicit 12-month or calendar-year volume label in source.,dmp_current_reference,2026-08-03,,4102.51,,,exact_validated,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.,exported,,valid,,cn-standard,open
Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,Prisskjema,6,Anagrelide,191597,"Anagrelide sandoz kaps 0,5mg","0,5mg",100,,,Sandoz A/S,L01XX35,Anagrelid,,Pakningssalg,,,,,,,anagrelide,document_name_and_atc,name_in_document,false,Volume period not documented; packsSoldLast12m left blank.,No explicit 12-month or calendar-year volume label in source.,,,,,,,no_item_match,,exported,,valid,,cn-standard,open
Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,Prisskjema,7,Anagrelide,21999,"Xagrid kaps 0,5mg","0,5mg",100,,,Takeda AS,L01XX35,Anagrelid,,Pakningssalg,,,,,,,anagrelid,document_name_and_atc,name_in_document,false,Volume period not documented; packsSoldLast12m left blank.,No explicit 12-month or calendar-year volume label in source.,dmp_current_reference,2026-08-03,,4102.51,,,exact_validated,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.,exported,,valid,,cn-standard,open
